pm_timestamp,pm_processid,pm_user,pm_action,changeby,changedate,wostatusid,orgid,wonum,status,actlabcost,jpnum,estatapprlabcost,assetlocpriority,siteid,status_description,wopriority,actmatcost,actlabhrs,calcpriority,woclass_description,supervisor,description,assetnum,actintlabcost,worktype,estlabcost,location
1999-02-06T14:25:23-06:00,1000,MAXIMO,WAPPR,MAXIMO,1999-02-06T14:25:23-06:00,404,EAGLENA,1000,WAPPR,0,,0,5,BEDFORD,Waiting on approval,2,0,0,2,Work Order,ED,Relocate Guard Rails Around Compressor,11300,0,CM,518,BR300
1999-01-01T09:40:00-06:00,1001,MAXIMO,WAPPR,MAXIMO,1999-01-01T09:40:00-06:00,395,EAGLENA,1001,WAPPR,0,JP13140,111,4,BEDFORD,In progress,5,0,0,5,Work Order,CSWILSON,12 Month Service on Shipping Dept #1 Conveyor,12600,0,CM,111,SHIPPING
1999-01-01T09:46:00-06:00,1001,MAXIMO,INPRG,MAXIMO,1999-01-01T09:46:00-06:00,396,EAGLENA,1001,INPRG,0,JP13140,111,4,BEDFORD,In progress,5,0,0,5,Work Order,CSWILSON,12 Month Service on Shipping Dept #1 Conveyor,12600,0,CM,111,SHIPPING
1998-12-31T05:59:00-06:00,1002,MAXIMO,WAPPR,MAXIMO,1998-12-31T05:59:00-06:00,360,EAGLENA,1002,WAPPR,0,JP11430,1110,2,BEDFORD,Approved,3,0,0,9,Work Order,MILLER,Rebuild Feedwater Pump,11450,0,CM,1110,BR450
2003-02-27T10:04:13-06:00,1002,SMITH,APPR,SMITH,2003-02-27T10:04:13-06:00,795,EAGLENA,1002,APPR,0,JP11430,1110,2,BEDFORD,Approved,3,0,0,9,Work Order,MILLER,Rebuild Feedwater Pump,11450,0,CM,1110,BR450
2003-02-27T10:45:33-06:00,1002,LIBERI,WAPPR,LIBERI,2003-02-27T10:45:33-06:00,803,EAGLENA,1002,WAPPR,0,JP11430,1110,2,BEDFORD,Approved,3,0,0,9,Work Order,MILLER,Rebuild Feedwater Pump,11450,0,CM,1110,BR450
2003-02-27T10:48:03-06:00,1002,LIBERI,APPR,LIBERI,2003-02-27T10:48:03-06:00,811,EAGLENA,1002,APPR,0,JP11430,1110,2,BEDFORD,Approved,3,0,0,9,Work Order,MILLER,Rebuild Feedwater Pump,11450,0,CM,1110,BR450
1998-12-31T09:44:00-06:00,1003,MAXIMO,WAPPR,MAXIMO,1998-12-31T09:44:00-06:00,397,EAGLENA,1003,WAPPR,0,JP1000,185,2,BEDFORD,Approved,5,513.59,0,5,Work Order,ED,Check for Plumbing Problem,,0,CM,185,BOILER
1998-12-31T09:44:00-06:00,1003,MAXIMO,APPR,MAXIMO,1998-12-31T09:44:00-06:00,398,EAGLENA,1003,APPR,0,JP1000,185,2,BEDFORD,Approved,5,513.59,0,5,Work Order,ED,Check for Plumbing Problem,,0,CM,185,BOILER
1999-02-06T14:16:09-06:00,1004,MAXIMO,WAPPR,MAXIMO,1999-02-06T14:16:09-06:00,403,EAGLENA,1004,WAPPR,0,JP11210,462.5,5,BEDFORD,In progress,1,0,0,1,Work Order,MILLER,Generator Overhaul,11230,0,CM,462.5,BR230
1999-02-06T14:16:00-06:00,1004,MAXIMO,INPRG,MAXIMO,1999-02-06T14:16:00-06:00,502,EAGLENA,1004,INPRG,0,JP11210,462.5,5,BEDFORD,In progress,1,0,0,1,Work Order,MILLER,Generator Overhaul,11230,0,CM,462.5,BR230
1998-12-31T03:35:00-06:00,1005,MAXIMO,APPR,MAXIMO,1998-12-31T03:35:00-06:00,354,EAGLENA,1005,APPR,0,JP12300,18.5,2,BEDFORD,Approved,7,725.05,0,7,Work Order,ED,Electric Cart Tune-Up,12300,0,CM,18.5,SHIPPING
1998-12-31T03:09:00-06:00,1005,MAXIMO,WAPPR,MAXIMO,1998-12-31T03:09:00-06:00,491,EAGLENA,1005,WAPPR,0,JP12300,18.5,2,BEDFORD,Approved,7,725.05,0,7,Work Order,ED,Electric Cart Tune-Up,12300,0,CM,18.5,SHIPPING
1998-12-31T17:29:00-06:00,1006,MAXIMO,WAPPR,MAXIMO,1998-12-31T17:29:00-06:00,401,EAGLENA,1006,WAPPR,0,JP11430,883.37,5,BEDFORD,Approved,7,141.07,0,7,Work Order,ED,Feedwater Pump Service,11450,0,CM,883.37,BR450
1998-12-31T17:30:00-06:00,1006,MAXIMO,APPR,MAXIMO,1998-12-31T17:30:00-06:00,402,EAGLENA,1006,APPR,0,JP11430,883.37,5,BEDFORD,Approved,7,141.07,0,7,Work Order,ED,Feedwater Pump Service,11450,0,CM,883.37,BR450
1998-12-31T13:47:00-06:00,1007,MAXIMO,APPR,MAXIMO,1998-12-31T13:47:00-06:00,358,EAGLENA,1007,APPR,0,JP1314A,111,2,BEDFORD,Approved,8,122.55,0,8,Work Order,ED,Packaging Mach. Elevator & Drainpan Inspection,13141,0,CM,111,BPM3100
